what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.bpel.runtimes,0.5.0.qualifier,"org.eclipse.bpel.runtimes",1321971275962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321971276020
error,log,,,"22-nov-2011 15:14:36 CET [Turmeric] org.ebayopensource.turmeric.tools.library.builders.TypeLibraryParser  processTypeDepXMLFileForGen\r\n SEVERE: Unable to parse the TypeDepedencies.xml file, of library ParseService its content could be invalid",1321971276393
error,log,,,"22-nov-2011 15:14:36 CET [Turmeric] org.ebayopensource.turmeric.tools.codegen.external.AxisJavaWSDLGeneratorImpl  getAllDependentLibraryNames\r\n SEVERE: org.xml.sax.SAXParseException; Premature end of file.",1321971276394
activated,editor,org.eclipse.wst.wsdl.ui,1.2.305.v201103170010,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1321971277443
closed,editor,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1321971277446
opened,editor,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1321971278376
stopped,bundle,org.eclipse.bpel.runtimes,0.5.0.qualifier,"org.eclipse.bpel.runtimes",1321971283752
activated,editor,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1321971283783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321971289647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321971290824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321971291721
